Province/State,Country,Last Update,Confirmed,Deaths,Recovered
Jiangsu,Mainland China,2020-01-26 23:00:00,47,0,1
Guangxi,Mainland China,2020-01-26 23:00:00,46,0,0
Fujian,Mainland China,2020-01-26 23:00:00,35,0,0
Liaoning,Mainland China,2020-01-26 23:00:00,23,0,0
Hainan,Mainland China,2020-01-26 23:00:00,22,0,0
Shaanxi,Mainland China,2020-01-26 23:00:00,22,0,0
Heilongjiang,Mainland China,2020-01-26 23:00:00,21,1,0
Yunnan,Mainland China,2020-01-26 23:00:00,19,0,0
Hebei,Mainland China,2020-01-26 23:00:00,18,1,0
Tianjin,Mainland China,2020-01-26 23:00:00,14,0,0
Gansu,Mainland China,2020-01-26 23:00:00,14,0,0
Shanxi,Mainland China,2020-01-26 23:00:00,13,0,0
Inner Mongolia,Mainland China,2020-01-26 23:00:00,11,0,0
Hong Kong,Hong Kong,2020-01-26 23:00:00,8,0,0
Guizhou,Mainland China,2020-01-26 23:00:00,7,0,0
Jilin,Mainland China,2020-01-26 23:00:00,6,0,0
Macau,Macau,2020-01-26 23:00:00,6,0,0
Xinjiang,Mainland China,2020-01-26 23:00:00,5,0,0
Ningxia,Mainland China,2020-01-26 23:00:00,4,0,0
Taiwan,Taiwan,2020-01-26 23:00:00,4,0,0
Qinghai,Mainland China,2020-01-26 23:00:00,4,0,0
Washington,US,2020-01-26 23:00:00,1,0,0
Illinois,US,2020-01-26 23:00:00,1,0,0
California,US,2020-01-26 23:00:00,2,0,0
Arizona,US,2020-01-26 23:00:00,1,0,0
,Japan,2020-01-26 23:00:00,4,0,1
,Thailand,2020-01-26 23:00:00,8,0,2
,South Korea,2020-01-26 23:00:00,3,0,0
,Singapore,2020-01-26 23:00:00,4,0,0
,Vietnam,2020-01-26 23:00:00,2,0,0
,France,2020-01-26 23:00:00,3,0,0
,Australia,2020-01-26 23:00:00,4,0,0
,Nepal,2020-01-26 23:00:00,1,0,0
,Malaysia,2020-01-26 23:00:00,4,0,0
Ontario,Canada,2020-01-26 23:00:00,1,0,0
Hubei,Mainland China,2020-01-27 20:30:00,2714,100,47
Zhejiang,Mainland China,2020-01-27 20:30:00,173,0,1
Henan,Mainland China,2020-01-27 20:30:00,168,1,0
Guangdong,Mainland China,2020-01-27 20:30:00,151,0,4
Chongqing,Mainland China,2020-01-27 20:30:00,132,0,0
Anhui,Mainland China,2020-01-27 20:30:00,106,0,0
Hunan,Mainland China,2020-01-27 20:30:00,100,0,0
Sichuan,Mainland China,2020-01-27 20:30:00,90,0,0
Shandong,Mainland China,2020-01-27 20:30:00,87,1,0
Beijing,Mainland China,2020-01-27 20:30:00,80,1,2
Jiangxi,Mainland China,2020-01-27 20:30:00,72,0,2
Jiangsu,Mainland China,2020-01-27 20:30:00,70,0,1
Shanghai,Mainland China,2020-01-27 20:30:00,66,1,3
Fujian,Mainland China,2020-01-27 20:30:00,59,0,0
Guangxi,Mainland China,2020-01-27 20:30:00,51,0,0
Shaanxi,Mainland China,2020-01-27 20:30:00,35,0,0
Hainan,Mainland China,2020-01-27 20:30:00,33,1,0
Hebei,Mainland China,2020-01-27 20:30:00,33,1,0
Heilongjiang,Mainland China,2020-01-27 20:30:00,30,1,0
Liaoning,Mainland China,2020-01-27 20:30:00,27,0,0
Yunnan,Mainland China,2020-01-27 20:30:00,26,0,0
Tianjin,Mainland China,2020-01-27 20:30:00,23,0,0
Shanxi,Mainland China,2020-01-27 20:30:00,20,0,0
Gansu,Mainland China,2020-01-27 20:30:00,19,0,0
Inner Mongolia,Mainland China,2020-01-27 20:30:00,11,0,0
Guizhou,Mainland China,2020-01-27 20:30:00,9,0,0
Hong Kong,Hong Kong,2020-01-27 20:30:00,8,0,0
Ningxia,Mainland China,2020-01-27 20:30:00,7,0,0
Jilin,Mainland China,2020-01-27 20:30:00,6,0,0
Macau,Macau,2020-01-27 20:30:00,6,0,0
Qinghai,Mainland China,2020-01-27 20:30:00,6,0,0
Taiwan,Taiwan,2020-01-27 20:30:00,5,0,0
Xinjiang,Mainland China,2020-01-27 20:30:00,5,0,0
Washington,US,2020-01-27 20:30:00,1,0,0
Illinois,US,2020-01-27 20:30:00,1,0,0
California,US,2020-01-27 20:30:00,2,0,0
Arizona,US,2020-01-27 20:30:00,1,0,0
,Japan,2020-01-27 20:30:00,4,0,1
,Thailand,2020-01-27 20:30:00,8,0,2
,South Korea,2020-01-27 20:30:00,4,0,0
,Singapore,2020-01-27 20:30:00,5,0,0
,Vietnam,2020-01-27 20:30:00,2,0,0
,France,2020-01-27 20:30:00,3,0,0
,Nepal,2020-01-27 20:30:00,1,0,0
,Malaysia,2020-01-27 20:30:00,4,0,0
Ontario,Canada,2020-01-27 20:30:00,1,0,0
,Cambodia,2020-01-27 20:30:00,1,0,0
,Sri Lanka,2020-01-27 20:30:00,1,0,0
,Ivory Coast,2020-01-27 20:30:00,0,0,0
New South Wales,Australia,2020-01-27 20:30:00,4,0,0
Victoria,Australia,2020-01-27 20:30:00,1,0,0
Bavaria,Germany,2020-01-27 20:30:00,1,0,0
Hubei,Mainland China,2020-01-28 23:00:00,3554,125,80
Zhejiang,Mainland China,2020-01-28 23:00:00,296,0,3
Guangdong,Mainland China,2020-01-28 23:00:00,241,0,5
Hunan,Mainland China,2020-01-28 23:00:00,221,0,0
Henan,Mainland China,2020-01-28 23:00:00,206,2,1
Anhui,Mainland China,2020-01-28 23:00:00,152,0,0
Chongqing,Mainland China,2020-01-28 23:00:00,147,0,1
Shandong,Mainland China,2020-01-28 23:00:00,121,0,0
Jiangxi,Mainland China,2020-01-28 23:00:00,109,0,3
Sichuan,Mainland China,2020-01-28 23:00:00,108,0,0
Jiangsu,Mainland China,2020-01-28 23:00:00,99,0,1
Beijing,Mainland China,2020-01-28 23:00:00,91,1,4
Fujian,Mainland China,2020-01-28 23:00:00,82,0,0
Shanghai,Mainland China,2020-01-28 23:00:00,80,1,4
Guangxi,Mainland China,2020-01-28 23:00:00,58,0,2
Shaanxi,Mainland China,2020-01-28 23:00:00,56,0,0
Hebei,Mainland China,2020-01-28 23:00:00,48,1,0
Yunnan,Mainland China,2020-01-28 23:00:00,44,0,0
Hainan,Mainland China,2020-01-28 23:00:00,43,1,0
Heilongjiang,Mainland China,2020-01-28 23:00:00,37,1,0
Liaoning,Mainland China,2020-01-28 23:00:00,36,0,0
Shanxi,Mainland China,2020-01-28 23:00:00,27,0,0
Tianjin,Mainland China,2020-01-28 23:00:00,25,0,0
Gansu,Mainland China,2020-01-28 23:00:00,24,0,0
Inner Mongolia,Mainland China,2020-01-28 23:00:00,16,0,0
Xinjiang,Mainland China,2020-01-28 23:00:00,13,0,0
Ningxia,Mainland China,2020-01-28 23:00:00,12,0,0
Guizhou,Mainland China,2020-01-28 23:00:00,9,0,0
Jilin,Mainland China,2020-01-28 23:00:00,9,0,0
Hong Kong,Hong Kong,2020-01-28 23:00:00,8,0,0
Taiwan,Taiwan,2020-01-28 23:00:00,8,0,0
Macau,Macau,2020-01-28 23:00:00,7,0,0
Qinghai,Mainland China,2020-01-28 23:00:00,6,0,0
Washington,US,2020-01-28 23:00:00,1,0,0
Illinois,US,2020-01-28 23:00:00,1,0,0
California,US,2020-01-28 23:00:00,2,0,0
Arizona,US,2020-01-28 23:00:00,1,0,0
,Japan,2020-01-28 23:00:00,7,0,1
,Thailand,2020-01-28 23:00:00,14,0,5
,South Korea,2020-01-28 23:00:00,4,0,0
,Singapore,2020-01-28 23:00:00,7,0,0
,Vietnam,2020-01-28 23:00:00,2,0,0
,France,2020-01-28 23:00:00,4,0,0
,Nepal,2020-01-28 23:00:00,1,0,0
,Malaysia,2020-01-28 23:00:00,7,0,0
Ontario,Canada,2020-01-28 23:00:00,1,0,0
British Columbia,Canada,2020-01-28 23:00:00,1,0,0
,Cambodia,2020-01-28 23:00:00,1,0,0
,Sri Lanka,2020-01-28 23:00:00,1,0,0
New South Wales,Australia,2020-01-28 23:00:00,4,0,0
Victoria,Australia,2020-01-28 23:00:00,1,0,0
Bavaria,Germany,2020-01-28 23:00:00,4,0,0
Hubei,Mainland China,2020-01-29 21:00:00,4586,162,90
Zhejiang,Mainland China,2020-01-29 21:00:00,428,0,4
Guangdong,Mainland China,2020-01-29 21:00:00,311,0,6
Henan,Mainland China,2020-01-29 21:00:00,278,2,2
Hunan,Mainland China,2020-01-29 21:00:00,277,0,0
Anhui,Mainland China,2020-01-29 21:00:00,200,0,2
Chongqing,Mainland China,2020-01-29 21:00:00,165,0,1
Jiangxi,Mainland China,2020-01-29 21:00:00,162,0,4
Shandong,Mainland China,2020-01-29 21:00:00,145,0,1
Sichuan,Mainland China,2020-01-29 21:00:00,142,1,1
Jiangsu,Mainland China,2020-01-29 21:00:00,129,0,1
Beijing,Mainland China,2020-01-29 21:00:00,111,1,4
Shanghai,Mainland China,2020-01-29 21:00:00,101,1,5
Fujian,Mainland China,2020-01-29 21:00:00,101,0,0
Guangxi,Mainland China,2020-01-29 21:00:00,78,0,2
Hebei,Mainland China,2020-01-29 21:00:00,65,1,0
Shaanxi,Mainland China,2020-01-29 21:00:00,56,0,0
Yunnan,Mainland China,2020-01-29 21:00:00,55,0,0
Hainan,Mainland China,2020-01-29 21:00:00,43,1,0
Heilongjiang,Mainland China,2020-01-29 21:00:00,43,1,0
Liaoning,Mainland China,2020-01-29 21:00:00,39,0,1
Shanxi,Mainland China,2020-01-29 21:00:00,35,0,1
Tianjin,Mainland China,2020-01-29 21:00:00,27,0,0
Gansu,Mainland China,2020-01-29 21:00:00,26,0,0
Inner Mongolia,Mainland China,2020-01-29 21:00:00,16,0,0
Jilin,Mainland China,2020-01-29 21:00:00,14,0,1
Xinjiang,Mainland China,2020-01-29 21:00:00,14,0,0
Guizhou,Mainland China,2020-01-29 21:00:00,12,0,1
Ningxia,Mainland China,2020-01-29 21:00:00,12,0,0
Hong Kong,Hong Kong,2020-01-29 21:00:00,10,0,0
Taiwan,Taiwan,2020-01-29 21:00:00,8,0,0
Macau,Macau,2020-01-29 21:00:00,7,0,0
Qinghai,Mainland China,2020-01-29 21:00:00,6,0,0
Tibet,Mainland China,2020-01-29 21:00:00,1,0,0
Washington,US,2020-01-29 21:00:00,1,0,0
Illinois,US,2020-01-29 21:00:00,1,0,0
California,US,2020-01-29 21:00:00,2,0,0
Arizona,US,2020-01-29 21:00:00,1,0,0
,Japan,2020-01-29 21:00:00,11,0,1
,Thailand,2020-01-29 21:00:00,14,0,5
,South Korea,2020-01-29 21:00:00,4,0,0
,Singapore,2020-01-29 21:00:00,10,0,0
,Vietnam,2020-01-29 21:00:00,2,0,0
,France,2020-01-29 21:00:00,5,0,0
,Nepal,2020-01-29 21:00:00,1,0,0
,Malaysia,2020-01-29 21:00:00,7,0,0
Ontario,Canada,2020-01-29 21:00:00,2,0,0
British Columbia,Canada,2020-01-29 21:00:00,1,0,0
,Cambodia,2020-01-29 21:00:00,1,0,0
,Sri Lanka,2020-01-29 21:00:00,1,0,0
New South Wales,Australia,2020-01-29 21:00:00,4,0,0
Victoria,Australia,2020-01-29 21:00:00,2,0,0
Queensland,Australia,2020-01-29 21:00:00,1,0,0
Bavaria,Germany,2020-01-29 21:00:00,4,0,0
,Finland,2020-01-29 21:00:00,1,0,0
,United Arab Emirates,2020-01-29 21:00:00,4,0,0
Hubei,Mainland China,2020-01-30 21:30:00,5806,204,116
Zhejiang,Mainland China,2020-01-30 21:30:00,537,0,9
Guangdong,Mainland China,2020-01-30 21:30:00,393,0,11
Henan,Mainland China,2020-01-30 21:30:00,352,2,3
Hunan,Mainland China,2020-01-30 21:30:00,332,0,2
Jiangxi,Mainland China,2020-01-30 21:30:00,240,0,7
Anhui,Mainland China,2020-01-30 21:30:00,237,0,3
Chongqing,Mainland China,2020-01-30 21:30:00,206,0,1
Shandong,Mainland China,2020-01-30 21:30:00,178,0,2
Sichuan,Mainland China,2020-01-30 21:30:00,177,1,1
Jiangsu,Mainland China,2020-01-30 21:30:00,168,0,2
Shanghai,Mainland China,2020-01-30 21:30:00,128,1,9
Beijing,Mainland China,2020-01-30 21:30:00,121,1,5
Fujian,Mainland China,2020-01-30 21:30:00,101,0,0
Guangxi,Mainland China,2020-01-30 21:30:00,87,0,2
Hebei,Mainland China,2020-01-30 21:30:00,82,1,0
Yunnan,Mainland China,2020-01-30 21:30:00,76,0,0
Shaanxi,Mainland China,2020-01-30 21:30:00,87,0,0
Heilongjiang,Mainland China,2020-01-30 21:30:00,59,2,0
Hainan,Mainland China,2020-01-30 21:30:00,50,1,1
Liaoning,Mainland China,2020-01-30 21:30:00,45,0,1
Shanxi,Mainland China,2020-01-30 21:30:00,39,0,1
Tianjin,Mainland China,2020-01-30 21:30:00,32,0,0
Gansu,Mainland China,2020-01-30 21:30:00,29,0,0
Ningxia,Mainland China,2020-01-30 21:30:00,21,0,1
Inner Mongolia,Mainland China,2020-01-30 21:30:00,20,0,0
Xinjiang,Mainland China,2020-01-30 21:30:00,17,0,0
Guizhou,Mainland China,2020-01-30 21:30:00,15,0,1
Jilin,Mainland China,2020-01-30 21:30:00,14,0,1
Hong Kong,Hong Kong,2020-01-30 21:30:00,12,0,0
Taiwan,Taiwan,2020-01-30 21:30:00,9,0,0
Qinghai,Mainland China,2020-01-30 21:30:00,8,0,0
Macau,Macau,2020-01-30 21:30:00,7,0,0
Tibet,Mainland China,2020-01-30 21:30:00,1,0,0
Washington,US,2020-01-30 21:30:00,1,0,0
Illinois,US,2020-01-30 21:30:00,2,0,0
California,US,2020-01-30 21:30:00,2,0,0
Arizona,US,2020-01-30 21:30:00,1,0,0
,Japan,2020-01-30 21:30:00,11,0,1
,Thailand,2020-01-30 21:30:00,14,0,5
,South Korea,2020-01-30 21:30:00,6,0,0
,Singapore,2020-01-30 21:30:00,10,0,0
,Vietnam,2020-01-30 21:30:00,2,0,0
,France,2020-01-30 21:30:00,5,0,0
,Nepal,2020-01-30 21:30:00,1,0,0
,Malaysia,2020-01-30 21:30:00,8,0,0
Ontario,Canada,2020-01-30 21:30:00,2,0,0
British Columbia,Canada,2020-01-30 21:30:00,1,0,0
,Cambodia,2020-01-30 21:30:00,1,0,0
,Sri Lanka,2020-01-30 21:30:00,1,0,0
New South Wales,Australia,2020-01-30 21:30:00,4,0,2
Victoria,Australia,2020-01-30 21:30:00,2,0,0
Queensland,Australia,2020-01-30 21:30:00,3,0,0
Bavaria,Germany,2020-01-30 21:30:00,4,0,0
,Finland,2020-01-30 21:30:00,1,0,0
,United Arab Emirates,2020-01-30 21:30:00,4,0,0
,Philippines,2020-01-30 21:30:00,1,0,0
,India,2020-01-30 21:30:00,1,0,0
,Italy,2020-01-30 21:30:00,2,0,0
Hubei,Mainland China,2020-01-31 19:00:00,7153,249,169
Zhejiang,Mainland China,2020-01-31 19:00:00,537,0,14
Guangdong,Mainland China,2020-01-31 19:00:00,436,0,10
Henan,Mainland China,2020-01-31 19:00:00,352,2,3
Hunan,Mainland China,2020-01-31 19:00:00,332,0,3
Jiangxi,Mainland China,2020-01-31 19:00:00,240,0,7
Chongqing,Mainland China,2020-01-31 19:00:00,238,1,1
Anhui,Mainland China,2020-01-31 19:00:00,237,0,3
Shandong,Mainland China,2020-01-31 19:00:00,184,0,2
Sichuan,Mainland China,2020-01-31 19:00:00,177,1,1
Jiangsu,Mainland China,2020-01-31 19:00:00,168,0,5
Shanghai,Mainland China,2020-01-31 19:00:00,153,1,9
Beijing,Mainland China,2020-01-31 19:00:00,139,1,5
Fujian,Mainland China,2020-01-31 19:00:00,120,0,0
Hebei,Mainland China,2020-01-31 19:00:00,96,1,0
Guangxi,Mainland China,2020-01-31 19:00:00,88,0,2
Shaanxi,Mainland China,2020-01-31 19:00:00,87,0,0
Yunnan,Mainland China,2020-01-31 19:00:00,83,0,1
Liaoning,Mainland China,2020-01-31 19:00:00,60,0,1
Heilongjiang,Mainland China,2020-01-31 19:00:00,59,2,0
Hainan,Mainland China,2020-01-31 19:00:00,58,1,1
Shanxi,Mainland China,2020-01-31 19:00:00,47,0,1
Gansu,Mainland China,2020-01-31 19:00:00,35,0,0
Tianjin,Mainland China,2020-01-31 19:00:00,32,0,0
Guizhou,Mainland China,2020-01-31 19:00:00,29,0,2
Ningxia,Mainland China,2020-01-31 19:00:00,21,0,1
Inner Mongolia,Mainland China,2020-01-31 19:00:00,20,0,0
Xinjiang,Mainland China,2020-01-31 19:00:00,17,0,0
Jilin,Mainland China,2020-01-31 19:00:00,14,0,1
Hong Kong,Hong Kong,2020-01-31 19:00:00,13,0,0
Taiwan,Taiwan,2020-01-31 19:00:00,10,0,0
Qinghai,Mainland China,2020-01-31 19:00:00,8,0,0
Macau,Macau,2020-01-31 19:00:00,7,0,0
Tibet,Mainland China,2020-01-31 19:00:00,1,0,0
Washington,US,2020-01-31 19:00:00,1,0,0
Illinois,US,2020-01-31 19:00:00,2,0,0
California,US,2020-01-31 19:00:00,3,0,0
Arizona,US,2020-01-31 19:00:00,1,0,0
,Japan,2020-01-31 19:00:00,17,0,1
,Thailand,2020-01-31 19:00:00,19,0,7
,South Korea,2020-01-31 19:00:00,11,0,0
,Singapore,2020-01-31 19:00:00,16,0,0
,Vietnam,2020-01-31 19:00:00,2,0,0
,France,2020-01-31 19:00:00,6,0,0
,Nepal,2020-01-31 19:00:00,1,0,0
,Malaysia,2020-01-31 19:00:00,8,0,0
